index,p0re,p0im,p1re,p1im
382,-1.19671,-0.30640,0.74462,-1.15775
383,-1.17160,-0.30281,0.75829,-1.15258
384,-1.14473,-0.29813,0.77052,-1.14691
385,-1.11604,-0.29246,0.78130,-1.14059
386,-1.08571,-0.28582,0.79060,-1.13388
387,-1.05377,-0.27820,0.79838,-1.12666
388,-1.02037,-0.26955,0.80459,-1.11899
389,-0.98576,-0.25996,0.80921,-1.11078
390,-0.94996,-0.24949,0.81218,-1.10215
391,-0.91316,-0.23810,0.81348,-1.09296
392,-0.87540,-0.22576,0.81319,-1.08327
393,-0.83678,-0.21259,0.81111,-1.07316
394,-0.79766,-0.19856,0.80738,-1.06245
395,-0.75791,-0.18362,0.80201,-1.05125
396,-0.71791,-0.16792,0.79495,-1.03957
397,-0.67772,-0.15139,0.78631,-1.02736
398,-0.63754,-0.13411,0.77610,-1.01467
399,-0.59745,-0.11615,0.76435,-1.00135
400,-0.55756,-0.09745,0.75113,-0.98749
401,-0.51810,-0.07808,0.73655,-0.97309
402,-0.47905,-0.05802,0.72050,-0.95804
403,-0.44069,-0.03732,0.70328,-0.94236
404,-0.40300,-0.01611,0.68482,-0.92605
405,-0.36617,0.00562,0.66533,-0.90897
406,-0.33041,0.02786,0.64481,-0.89107
407,-0.29571,0.05038,0.62341,-0.87238
408,-0.26215,0.07326,0.60111,-0.85294
409,-0.22982,0.09635,0.57820,-0.83256
410,-0.19888,0.11964,0.55469,-0.81129
411,-0.16942,0.14310,0.53070,-0.78908
412,-0.14141,0.16662,0.50627,-0.76585
413,-0.11502,0.19010,0.48156,-0.74153
414,-0.09021,0.21345,0.45658,-0.71605
415,-0.06697,0.23661,0.43146,-0.68951
416,-0.04535,0.25955,0.40621,-0.66172
417,-0.02537,0.28209,0.38095,-0.63267
418,-0.00709,0.30428,0.35561,-0.60245
419,0.00951,0.32596,0.33050,-0.57085
420,0.02442,0.34712,0.30547,-0.53794
421,0.03778,0.36768,0.28064,-0.50369
422,0.04956,0.38732,0.25600,-0.46821
423,0.05983,0.40637,0.23149,-0.43121
424,0.06859,0.42452,0.20718,-0.39288
425,0.07592,0.44190,0.18307,-0.35314
426,0.08192,0.45823,0.15920,-0.31203
427,0.08666,0.47370,0.13546,-0.26962
428,0.09019,0.48816,0.11194,-0.22596
429,0.09266,0.50151,0.08856,-0.18120
430,0.09411,0.51389,0.06527,-0.13519
431,0.09478,0.52520,0.04203,-0.08815
432,0.09470,0.53555,0.01890,-0.04013
433,0.09376,0.54473,-0.00434,0.00875
434,0.09248,0.55297,-0.02759,0.05843
435,0.09061,0.56020,-0.05091,0.10874
436,0.08854,0.56643,-0.07439,0.15942
437,0.08627,0.57165,-0.09804,0.21055
438,0.08392,0.57605,-0.12199,0.26192
439,0.08157,0.57950,-0.14611,0.31329
440,0.07951,0.58211,-0.17052,0.36462
441,0.07772,0.58388,-0.19528,0.41559
442,0.07626,0.58501,-0.22037,0.46606
443,0.07524,0.58552,-0.24581,0.51589
444,0.07482,0.58538,-0.27162,0.56486
445,0.07512,0.58471,-0.29777,0.61278
446,0.07609,0.58365,-0.32423,0.65948
447,0.07789,0.58220,-0.35111,0.70479
448,0.08056,0.58036,-0.37832,0.74844
449,0.08412,0.57830,-0.40587,0.79036
450,0.08870,0.57604,-0.43371,0.83031
